iter	Logloss
0	0.6208093413
1	0.5714882114
2	0.5287287583
3	0.4938573413
4	0.4643794296
5	0.4370373142
6	0.4171098274
7	0.3997065005
8	0.3839322552
9	0.3706717336
10	0.3585790325
11	0.3509894312
12	0.3445290808
13	0.336183242
14	0.3277248175
15	0.3217829141
16	0.3134013087
17	0.3060511832
18	0.3015096858
19	0.2967386636
20	0.2899954962
21	0.2833757057
22	0.2783763697
23	0.2747090097
24	0.2702318152
25	0.2672997311
26	0.2640109637
27	0.2613969487
28	0.2595158132
29	0.2533059837
30	0.2498896629
31	0.248710267
32	0.2462638326
33	0.2439814129
34	0.2419487868
35	0.2402626409
36	0.2387601728
37	0.2368421782
38	0.2351698878
39	0.2331601819
40	0.2299090056
41	0.2289047399
42	0.2276004641
43	0.2264881952
44	0.2233998747
45	0.2196391909
46	0.2167406568
47	0.214348237
48	0.2127779472
49	0.2107051969
50	0.2101089873
51	0.2090898589
52	0.2068260863
53	0.2063097455
54	0.2045690082
55	0.2036964482
56	0.2034633468
57	0.2013987181
58	0.2003555676
59	0.1995052508
60	0.1988018482
61	0.1984482428
62	0.197732378
63	0.1964663534
64	0.1935148297
65	0.1923602737
66	0.1921526788
67	0.1913782317
68	0.1900621915
69	0.189098429
70	0.1879227356
71	0.1857439307
72	0.1855064275
73	0.1849272177
74	0.1832679794
75	0.1826022541
76	0.1816986676
77	0.181565967
78	0.1810655602
79	0.1800805413
80	0.1785085569
81	0.178081251
82	0.1770087055
83	0.1762298807
84	0.1747303476
85	0.1742581709
86	0.1732588249
87	0.172239215
88	0.1696999746
89	0.1689750397
90	0.1678191379
91	0.1672801661
92	0.1670923807
93	0.1662537307
94	0.1651045305
95	0.1639487819
96	0.1637068812
97	0.1626027646
98	0.1610386864
99	0.160392127
100	0.1592136399
101	0.1588227897
102	0.158346777
103	0.1567391818
104	0.1554082159
105	0.1539668276
106	0.1534274778
107	0.1520443271
108	0.1512845345
109	0.1493102128
110	0.1481956793
111	0.1476730561
112	0.1468672669
113	0.1464989407
114	0.1458042456
115	0.1454909247
116	0.1451780442
117	0.1445469405
118	0.1444149953
119	0.1439076765
120	0.1431985863
121	0.1429647517
122	0.1419571626
123	0.1417031212
124	0.141068787
125	0.1404819468
126	0.1398803739
127	0.1395757897
128	0.1379659527
129	0.1376375314
130	0.1368663161
131	0.1364890218
132	0.1355963357
133	0.1351581849
134	0.1348020249
135	0.1342949626
136	0.1336300481
137	0.132350851
138	0.1318176408
139	0.1313281242
140	0.1309719822
141	0.1304057207
142	0.1300679775
143	0.1295432969
144	0.1293907922
145	0.1281342387
146	0.1270129251
147	0.1263565282
148	0.1258688889
149	0.1249446897
150	0.1236304781
151	0.123462687
152	0.1228249567
153	0.1220780769
154	0.1212410833
155	0.1207038213
156	0.1201737164
157	0.1191205103
158	0.1190843102
159	0.1189398597
160	0.1184045764
161	0.117974401
162	0.1174192013
163	0.1170623866
164	0.1170559244
165	0.1165796611
166	0.1157112408
167	0.1154172577
168	0.115213181
169	0.1149125888
170	0.1145843528
171	0.1143355219
172	0.1140774641
173	0.113203726
174	0.1128123192
175	0.1126809168
176	0.1121996218
177	0.1119219183
178	0.1113798534
179	0.1105289601
180	0.1103427734
181	0.1098729153
182	0.109648102
183	0.1093089821
184	0.1087879885
185	0.1086074042
186	0.1083072308
187	0.1077048696
188	0.1070172889
189	0.106439659
190	0.106365259
191	0.1062482654
192	0.1058561213
193	0.1054307539
194	0.1047395279
195	0.1040833959
196	0.1039038829
