iter	Passed	Remaining
411	4004	855
412	4014	845
413	4023	835
414	4034	826
415	4043	816
416	4053	806
417	4062	796
418	4071	787
419	4080	777
420	4090	767
421	4100	757
422	4110	748
423	4119	738
424	4127	728
425	4137	718
426	4146	708
427	4155	699
428	4164	689
429	4173	679
430	4183	669
431	4192	659
432	4201	650
433	4211	640
434	4221	630
435	4229	620
436	4239	611
437	4248	601
438	4257	591
439	4266	581
440	4276	572
441	4285	562
442	4295	552
443	4304	542
444	4312	533
445	4322	523
446	4331	513
447	4341	503
448	4351	494
449	4360	484
450	4370	474
451	4379	465
452	4389	455
453	4399	445
454	4407	435
455	4417	426
456	4428	416
457	4437	406
458	4446	397
459	4455	387
460	4465	377
461	4475	368
462	4484	358
463	4493	348
464	4503	338
465	4512	329
466	4521	319
467	4531	309
468	4541	300
469	4550	290
470	4559	280
471	4568	271
472	4577	261
473	4586	251
474	4596	241
475	4605	232
476	4614	222
477	4624	212
478	4633	203
479	4642	193
480	4652	183
481	4662	174
482	4671	164
483	4681	154
484	4690	145
485	4699	135
486	4709	125
487	4719	116
488	4728	106
489	4738	96
490	4747	87
491	4756	77
492	4764	67
493	4773	57
494	4782	48
495	4791	38
496	4800	28
497	4809	19
498	4819	9
499	4828	0
